prompt,phrase
Feeling dizzy,i feel dizzy after severe diarrhea
Internal pain,I feel a sharp pain in my stomach
Foot ache,"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel."
Internal pain,i have pain but i can't specify place
Neck pain,I feel pain in my neck while I'm working.
Knee pain,I could not exercise because of my knee pain
Hard to breath,i feel that it's hard to breath for me specially after running or making any effort
Feeling cold,I am having running nose
Head ache,I have a headache every time I eat ice cream
Internal pain,Sharp pain and heavy breathing
Muscle pain,There is a sharp pain in my calve.
Feeling dizzy,I feel dizzy when i make sudden movements
Muscle pain,When I wake up in the morning I feel a soreness in my body
Injury from sports,"i was injured during football match, i was diagnosed with Cruciate ligament"
Ear ache,I have a sharp pain in my ear
Back pain,standing less than five minutes and my back start to ache
Skin issue,Need to scratch my skin every minute
Cough,i can't breath because of  Cough
Feeling cold,I wake up at night feeling cold
Back pain,I used alot of pain killer to get better but i still feel the same back pain
Feeling cold,I feel cold and chills even though my clothes are heavy
Feeling dizzy,"When I stand up, I feel like I'm going to fall down instantly"
Head ache,My head ache since I woke up this morning.
Head ache,I feel a sharp pain in my head when I think too hard.
Knee pain,My knee hurts when I walk
Infected wound,I have a cut on my foot that became infected from using the showers at the gym.
Knee pain,I had a pain in my knee when I was swimming
Neck pain,I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.
Injury from sports,i'm injured i can't play sports
Cough,My lungs feel heavy like they are filled with mucus
Cough,I can't stop coughing
Knee pain,The knee feels like it rusted and I suddenly cannot bend it anymore.
Open wound,He was discovered to have an open wound.
Knee pain,My knee hurts when I play squash
Body feels weak,I can't do anything I feel a weak in my body
Shoulder pain,My shoulder hurts me so much
Internal pain,I feel pain inside I do not know what it is
Neck pain,Every time I look to left I feel a sharp pain in my neck.
Infected wound,I suffered a deep wound in my hand and I can not stop the bleeding
Body feels weak,I don't do anything at home and still I feel exhausted.
Shoulder pain,when i raise my hand i feel pain in my shoulder.
Knee pain,I have shooting pain in my kneecap after working out.
Joint pain,I feel a soreness in my knees when I walk
Foot ache,I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.
Heart hurts,I felt my heart hurts when I ran for along distance
Head ache,"My head hurts and I lose the sensation in my face, then lose sight in my eye"
Joint pain,I get i joint pain when i try to bend my leg or my arm
Injury from sports,I feel great pain in my feet after playing one of the sports games
Muscle pain,My biceps started aching after I went to the gym
Acne,My chest break out with red pimples and whiteheads.
Cough,I have a cold and it makes me cough alot
Blurry vision,I have blurred vision.
Shoulder pain,Why is my shoulder aching when I try to pick up the laundry?
Heart hurts,I feel pain in my heart when I wake up
Skin issue,there is a red stain in my skin
Head ache,I read a book for along time and when I finished reading I feel head ache
Emotional pain,I feel a huge emotional pain after I broke up with my girlfriend.
Muscle pain,My arm hurts when I stretch
Infected wound,His infected wound was beginning to rot.
Cough,I have a dry throat
Knee pain,I feel pain in the knee
Back pain,My back is hurting so much.
Cough,"my child has cough all night, she can't sleep"
Heart hurts,"My heart hurts while I'm sad, why?"
Back pain,My back hurts a lot when I bend
Acne,I get big patches of irritated pimples on my back and they hurt.
Back pain,longitudinal burning line across back with hard respiratory movements
Infected wound,My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.
Hard to breath,My chest hurts when I go to take a breath
Emotional pain,i feel sad
Feeling cold,I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.
Infected wound,I'm not feeling good I get infection wound
Knee pain,having difficulty moving my knee
Hair falling out,My hair always falls out and i have lost a lot of hair lately
Emotional pain,I wish this excruciating feeling of loss could go away.
Knee pain,I feel pain in the knee when walking
Heart hurts,I feel hurts in my heart
Foot ache,"i walked a long for 3 km, i feel pain in my foot like foot ache"
Feeling dizzy,I feel like the world goes round and round
Cough,I feel like I can hardly breathe unless I get what's in my lungs out
Body feels weak,"My body feels weak although I eat a lot, why?"
Skin issue,I have a rash on my skin
Feeling cold,"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!"
Acne,There are some pimples on my face that bother me a lot
Feeling cold,"I couldn't stop shaking or unclench my jaw, that's how cold I was."
Stomach ache,I can't stand with this horrible feeling in my stomach
Back pain,I feel a pain in my back
Body feels weak,I don't have the energy to do the things that I used to
Body feels weak,My body feels weak and i think that my face is fade and i can't sleep well
Hard to breath,I feel like something is squeezing my lungs.
Joint pain,My ankle joint throbs when I put pressure on my foot.
Head ache,The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.
Foot ache,My foot is hurting so much.
Cough,I feel like I've always got something in my throat
Body feels weak,My body feels weak although I take my vitamins regularly.
Internal pain,I always feel like I have menstrual pains even if I don't have my period.
Internal pain,My body aches on the inside between my hips and shoulders.
Cough,There is a constant tickle in my throat
Feeling dizzy,When I stand I feel dizzy I do not know why
Hair falling out,I feel depressed when I see my hair falling out
Knee pain,My knees hurt so bad to walk that I stay sitting more than I should.
Neck pain,my neck hurts me and i can't look down or up
Shoulder pain,I have throbing in my shoulder
Blurry vision,"I have a blurry vision during my swimming training in the pool, why?"
Feeling dizzy,I feel like the room is spinning
Cough,i cant sleep because of cough
Injury from sports,My back got injured while i was lifting at the gym
Foot ache,"I have a foot ache in winter, or when it feels cold, why?"
Cough,I've had this cough for two weeks.
Internal pain,"There is an extreme pressure below my belly button at the right, which I feel every time I go out for a jog."
Feeling cold,"I am always cold, even when I am wearing layers"
Emotional pain,When my grand father died I felt a hard emotional pain
Muscle pain,my abdominal muscles have great pain since i was at GYM
Head ache,I feel pain in my head with a vertigo
Blurry vision,I have blurry vision after I used a wrong medicine.
Muscle pain,My calves feel like they are tight as knots and are throbbing
Knee pain,I have a lot of knee pain whenever I go running.
Muscle pain,i have muscle pain at my left leg.
Hard to breath,I feel great pressure in my chest
Hard to breath,"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down."
Injury from sports,I feel great pain in my feet after playing one of the sports games
Internal pain,I feel a sharp pain in my stomach
Neck pain,I have a neck pain when I sit in-front of my laptop.
Muscle pain,My muscles in my lower back are aching.
Joint pain,i have a pain in my elbow joint
Muscle pain,I need a kind of cream wich make my muscles more relaxed
Head ache,I have a pain in my head
Muscle pain,My lower back hurts but it improves if I stretch it
Joint pain,when i extend my leg there is pain in knee joint
Stomach ache,My stomach has been sore since yesterday.
Knee pain,My knees seem to grind as I go up or down stairs.
Acne,My acne is really embarassing. It's so read.
Skin issue,Something dark is there on my arm
